,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
381,soria,0,ES,1578272760,87,41.76,-2.46,30.99,3.11
382,yerbogachen,100,RU,1578272760,93,61.28,108.01,8.96,11.5
383,new norfolk,20,AU,1578272760,52,-42.78,147.06,69.01,9.17
384,kavaratti,0,IN,1578272760,65,10.57,72.64,80.01,5.61
385,ixtapa,5,MX,1578272761,45,20.71,-105.21,82.4,6.93
386,pangnirtung,100,CA,1578272761,90,66.15,-65.72,-46.39,2.24
387,niamey,33,NE,1578272761,25,13.52,2.11,66.2,4.7
388,dzhebariki-khaya,100,RU,1578272761,98,62.22,135.8,-4.61,0.69
389,washington,40,US,1578272405,55,38.9,-77.04,36.0,4.7
390,taltal,2,CL,1578272762,77,-25.41,-70.49,62.35,2.04
391,ariquemes,87,BR,1578272762,97,-9.91,-63.03,74.35,2.53
392,codrington,75,AU,1578272762,51,-28.95,153.24,84.2,5.82
393,taoudenni,13,ML,1578272762,19,22.68,-3.98,54.77,7.31
394,esmeraldas,40,BR,1578272762,88,-19.76,-44.31,73.4,3.36
395,punta alta,20,AR,1578272762,83,-27.46,-55.82,78.8,4.7
396,bambanglipuro,49,ID,1578272762,80,-7.95,110.28,78.44,1.54
397,pilar,70,AR,1578272762,61,-34.46,-58.91,79.0,13.87
398,valparaiso,90,US,1578272185,65,41.47,-87.06,42.8,20.8
399,kindu,100,CD,1578272763,98,-2.95,25.92,68.9,0.31
400,russell,1,US,1578272165,44,38.9,-98.86,39.2,5.82
401,nome,1,US,1578272763,77,30.04,-94.42,64.0,6.93
402,durban,24,CA,1578272763,89,51.93,-101.44,13.69,8.21
403,mocuba,82,MZ,1578272763,98,-16.84,36.99,74.07,2.37
404,peniche,0,PT,1578272763,87,39.36,-9.38,48.99,2.24
405,marquelia,0,MX,1578272763,73,16.59,-98.82,82.24,8.84
406,petrolina,75,BR,1578272763,78,-9.38,-40.5,80.6,2.24
407,praya,40,ID,1578272543,83,-8.71,116.27,82.4,12.75
408,cockburn town,0,TC,1578272683,67,21.46,-71.14,77.85,9.66
409,sosva,56,RU,1578272764,91,59.17,61.86,21.2,7.58
410,manado,40,ID,1578272749,83,1.49,124.85,84.2,2.24
411,formosa,71,BR,1578272764,98,-15.55,-47.33,63.77,4.23
412,laukaa,90,FI,1578272764,92,62.42,25.95,25.0,9.17
413,bathsheba,90,BB,1578272760,88,13.22,-59.52,75.2,15.43
414,quatre cocos,75,MU,1578272764,94,-20.21,57.76,75.2,16.11
415,shumyachi,4,RU,1578272765,86,53.86,32.43,25.84,5.14
416,neryungri,100,RU,1578272765,76,56.66,124.71,6.33,3.51
417,san luis,83,AR,1578272765,74,-33.3,-66.34,66.33,22.95
418,joppatowne,5,US,1578272765,74,39.42,-76.36,36.0,7.4
419,raymondville,1,US,1578272765,34,37.34,-91.83,48.2,6.93
420,agucadoura,0,PT,1578272708,93,41.43,-8.78,42.01,2.24
421,emba,75,CY,1578272765,76,34.81,32.42,57.2,12.75
422,saint-francois,1,FR,1578272765,92,46.42,3.91,33.01,3.69
423,nago,0,IT,1578272766,86,45.88,10.89,45.0,6.93
424,natal,40,BR,1578272546,78,-5.81,-35.21,80.6,11.41
425,alexandria,8,RO,1578272766,91,43.97,25.33,30.99,6.04
426,kachiry,54,KZ,1578272766,95,53.07,76.1,26.58,7.29
427,mezhdurechensk,92,RU,1578272766,84,53.69,88.07,17.24,3.56
428,kalmunai,0,LK,1578272766,77,7.42,81.82,82.0,15.73
429,asekeyevo,94,RU,1578272766,97,53.57,52.8,24.51,3.62
430,sur,34,OM,1578272766,81,22.57,59.53,67.77,14.29
431,simao,38,CN,1578272766,98,22.76,100.79,53.58,3.56
432,atambua,100,ID,1578272767,76,-9.11,124.89,79.72,3.78
433,alofi,1,NU,1578272767,74,-19.06,-169.92,84.2,13.87
434,la rioja,0,AR,1578272767,37,-29.41,-66.86,81.64,2.44
435,guerrero negro,0,MX,1578272767,30,27.97,-114.04,69.06,7.9
436,terra santa,5,BR,1578272767,66,-2.1,-56.49,80.71,2.28
437,honiara,40,SB,1578272767,70,-9.43,159.96,89.6,5.82
438,amga,100,RU,1578272767,97,60.89,131.98,-0.92,3.53
439,stokmarknes,100,NO,1578272767,80,68.56,14.91,41.0,10.0
440,brae,100,GB,1578272768,93,60.4,-1.35,50.0,26.4
441,turbat,95,PK,1578272768,75,26.0,63.05,66.72,7.85
442,mehamn,75,NO,1578272768,79,71.03,27.85,23.0,8.05
443,balikpapan,100,ID,1578272768,88,-1.24,116.86,75.85,4.18
444,berwick,1,US,1578272768,62,29.69,-91.22,59.0,6.93
445,esso,71,RU,1578272768,96,55.93,158.7,1.4,3.83
446,naron,90,ES,1578272768,100,43.52,-8.15,41.0,5.82
447,bulawayo,87,ZW,1578272768,61,-20.16,28.59,70.09,3.18
448,traverse city,90,US,1578272768,95,44.76,-85.62,34.0,10.29
449,yumen,63,CN,1578272769,65,40.29,97.04,16.52,8.79
450,porto belo,40,BR,1578272650,83,-27.15,-48.54,77.0,8.05
451,cehegin,0,ES,1578272769,85,38.09,-1.8,46.0,5.01
452,erenhot,5,CN,1578272757,86,43.65,111.97,11.39,8.88
453,saryozek,0,KZ,1578272769,59,44.36,77.98,17.06,3.09
454,bom jesus,96,BR,1578272769,95,-9.08,-44.36,68.36,0.83
455,mayo,75,CA,1578272756,74,63.59,-135.9,-25.6,3.36
456,nantucket,1,US,1578272769,51,41.28,-70.1,36.0,12.75
457,ulaangom,0,MN,1578272769,83,49.98,92.07,-15.03,2.42
458,labuhan,77,ID,1578272770,88,-2.54,115.51,76.62,1.7
459,menongue,95,AO,1578272770,91,-14.66,17.68,63.93,1.48
460,bambous virieux,75,MU,1578272770,94,-20.34,57.76,75.2,16.11
461,port augusta,55,AU,1578272770,92,-32.49,137.76,62.01,1.99
462,kursk,100,RU,1578272770,93,51.74,36.18,27.3,7.02
463,villa bruzual,58,VE,1578272770,57,9.33,-69.12,80.37,8.1
464,boguchany,82,RU,1578272770,94,58.38,97.46,19.45,5.19
465,channel-port aux basques,100,CA,1578272770,85,47.57,-59.14,29.84,21.97
466,kamenka,99,MD,1578272770,83,48.03,28.7,33.01,11.79
467,vila,0,IT,1578272771,88,45.18,8.4,39.99,8.05
468,penzance,98,GB,1578272771,93,50.12,-5.53,51.01,17.22
469,harper,1,US,1578272771,27,30.3,-99.24,62.6,6.93
470,isoka,100,ZM,1578272771,96,-10.15,32.64,63.52,2.26
471,mahenge,99,TZ,1578272771,82,-8.68,36.72,72.52,2.71
472,hauterive,1,CA,1578272771,66,49.18,-68.27,18.0,6.93
473,yongzhou,2,CN,1578272771,90,26.46,111.6,56.16,1.52
474,kargil,100,PK,1578272771,97,34.56,76.13,-0.62,2.86
475,maltahohe,30,NA,1578272772,30,-24.83,16.98,66.16,8.23
476,iranshahr,90,IR,1578272772,82,27.21,60.69,60.8,4.7
477,nagato,75,JP,1578272772,65,34.35,131.14,48.2,11.41
478,hami,88,CN,1578272772,45,42.84,93.51,18.52,2.91
479,tasiilaq,100,GL,1578272772,92,65.61,-37.64,22.53,33.51
480,popondetta,99,PG,1578272772,76,-8.77,148.24,76.03,3.67
481,selkirk,5,CA,1578272772,73,50.15,-96.88,19.4,6.93
482,green valley,1,US,1578272772,74,40.41,-89.64,39.99,20.8
483,taksimo,4,RU,1578272655,93,56.36,114.84,-10.44,0.72
484,dongsheng,100,CN,1578272773,93,29.72,112.52,46.18,9.31
485,parabel,97,RU,1578272773,94,58.71,81.5,10.65,7.65
486,dunedin,70,NZ,1578272502,70,-45.87,170.5,50.56,39.53
487,aykhal,100,RU,1578272773,83,65.95,111.51,-4.0,6.71
488,migori,100,KE,1578272773,87,-1.07,34.47,64.4,1.59
489,port-gentil,100,GA,1578272773,77,-0.72,8.78,82.24,8.08
490,raudeberg,100,NO,1578272773,93,61.99,5.14,48.0,18.34
491,belyy yar,69,RU,1578272773,67,53.6,91.39,23.0,6.71
492,port blair,28,IN,1578272774,79,11.67,92.75,80.73,13.51
493,boyolangu,74,ID,1578272774,83,-8.09,111.9,78.71,2.08
494,trelew,83,AR,1578272774,43,-43.25,-65.31,61.47,13.51
495,mackay,75,CA,1578272774,53,53.65,-115.58,24.8,6.93
496,tautira,75,PF,1578272774,70,-17.73,-149.15,86.0,3.36
497,sangar,100,RU,1578272774,88,63.92,127.47,-6.23,12.64
498,muroran,20,JP,1578272774,63,42.32,140.98,30.2,13.87
499,verkhnevilyuysk,92,RU,1578272774,100,63.45,120.31,-9.33,1.83
500,manono,100,CD,1578272774,96,-7.3,27.4,68.45,1.36
501,byron bay,4,AU,1578272749,54,-28.65,153.62,88.0,12.75
502,paidha,76,UG,1578272775,68,2.42,30.99,66.79,5.53
503,beloha,0,MG,1578272775,84,-25.17,45.06,72.37,10.42
504,gubkinskiy,100,RU,1578272775,94,64.43,76.5,20.48,12.53
505,iralaya,75,HN,1578272775,83,15.0,-83.23,80.6,11.41
506,tiarei,75,PF,1578272775,70,-17.53,-149.33,86.0,3.36
507,arys,90,KZ,1578272775,100,42.43,68.8,30.2,2.24
508,megalopoli,100,GR,1578272775,49,37.4,22.14,51.01,6.93
509,beberibe,40,BR,1578272775,74,-4.18,-38.13,86.0,5.82
510,esil,99,KZ,1578272776,94,51.96,66.41,21.61,7.02
511,plesetsk,15,RU,1578272776,94,62.71,40.29,11.1,6.55
512,prabumulih,57,ID,1578272776,96,-3.5,104.19,73.53,3.18
513,henties bay,76,NA,1578272776,90,-22.12,14.28,63.0,1.99
514,margate,20,AU,1578272776,52,-43.03,147.26,69.01,9.17
515,tessalit,0,ML,1578272776,24,20.2,1.01,54.21,12.28
516,axim,10,GH,1578272776,56,4.87,-2.24,73.78,0.56
517,hobyo,22,SO,1578272776,83,5.35,48.53,77.61,11.01
518,deputatskiy,48,RU,1578272751,79,69.3,139.9,-17.0,0.49
519,independencia,96,MX,1578272777,86,20.06,-97.05,61.11,0.94
520,kano,90,NG,1578272777,67,11.99,8.53,57.2,11.61
521,caucaia,40,BR,1578272777,74,-3.73,-38.66,86.0,5.82
522,yanam,49,IN,1578272777,83,16.73,82.22,73.4,9.17
523,thunder bay,90,CA,1578272578,79,48.41,-89.26,28.4,17.22
524,lamu,100,CN,1578272777,91,35.77,102.37,14.81,1.19
525,port shepstone,99,ZA,1578272746,97,-30.74,30.45,72.37,5.53
526,sanski most,0,BA,1578272778,85,44.77,16.67,24.8,5.82
527,barranca,63,PE,1578272778,88,-10.75,-77.76,71.02,13.62
528,kontagora,100,NG,1578272778,30,10.4,5.47,69.44,6.78
529,capaci,0,IT,1578272778,37,38.17,13.24,55.99,35.57
530,juventino rosas,40,MX,1578272778,8,20.64,-101.0,66.2,5.57
531,imperial,0,CA,1578272778,82,51.35,-105.44,16.54,6.85
532,zhanaozen,100,KZ,1578272778,62,43.35,52.85,28.76,6.33
533,huamachuco,100,PE,1578272778,91,-7.82,-78.05,43.86,8.41
534,chhabra,0,IN,1578272778,55,24.67,76.85,53.19,5.77
535,bridlington,13,GB,1578272778,87,54.08,-0.19,48.2,12.75
536,palauig,80,PH,1578272779,62,15.44,119.9,74.93,5.99
537,tabas,0,IR,1578272524,51,33.6,56.92,39.2,4.7
538,ginir,0,ET,1578272779,72,7.14,40.71,59.13,4.18
539,areka,40,ET,1578272779,71,7.07,37.71,68.74,2.19
540,karanganyar,20,ID,1578272779,100,-7.6,110.95,75.2,2.24
541,kushima,75,JP,1578272779,81,31.5,131.29,44.6,11.41
542,yarada,75,IN,1578272779,78,17.65,83.27,73.4,6.93
543,oneida,1,US,1578272779,64,41.07,-90.23,39.0,17.22
544,tumpat,20,MY,1578272779,88,6.2,102.17,75.2,3.36
545,mataram,45,ID,1578272780,95,-5.32,105.06,73.45,2.24
546,lerwick,100,GB,1578272780,87,60.15,-1.15,50.0,16.11
